id,title,author,year,genres,readingLevel,pages,themes,mood,description,similarTo
b021,The Silent Patient,Alex Michaelides,2019,Thriller; Mystery; Psychological,beginner,336,silence; obsession; trauma; therapy,"fast, hooky, pulpy",A famous painter shoots her husband and never speaks again; the therapist obsessed with her case narrates the hunt for why. Short chapters and a big final twist make it a one-sitting read.,Gone Girl; The Woman in the Window
b022,And Then There Were None,Agatha Christie,1939,Mystery; Classic; Thriller,beginner,272,guilt; justice; paranoia,"tight, clever, chilling",Ten strangers are lured to an island and killed one by one to the rhythm of a nursery rhyme. The best-selling mystery ever written and a flawless puzzle box that reads in an afternoon.,Murder on the Orient Express; The Guest List
b023,The Martian,Andy Weir,2011,Science Fiction; Thriller,intermediate,369,survival; engineering; humor; rescue,"wisecracking, tense, upbeat","Stranded alone on Mars, astronaut Mark Watney improvises his way toward survival one problem at a time. Duct-tape engineering and gallows humor in log-entry form.",Project Hail Mary; Artemis
b024,A Man Called Ove,Fredrik Backman,2012,Contemporary Fiction; Humor,beginner,337,grief; community; aging; kindness,"warm, funny, tearful","A rigid, rule-obsessed widower plans to end his life until noisy neighbors keep interrupting. Comfort reading that earns its sentiment; funny on one page and wrecking on the next.",The Unlikely Pilgrimage of Harold Fry; Eleanor Oliphant Is Completely Fine
b025,Eleanor Oliphant Is Completely Fine,Gail Honeyman,2017,Contemporary Fiction,beginner,327,loneliness; trauma; friendship; recovery,"wry, tender, hopeful",A socially isolated office worker with a rigid routine slowly builds an unlikely friendship. Very funny narration wrapped around real damage and a gentle recovery.,A Man Called Ove; The Rosie Project
b026,Where the Crawdads Sing,Delia Owens,2018,Contemporary Fiction; Mystery,intermediate,384,isolation; nature; prejudice; survival,"atmospheric, lyrical, nostalgic","A girl abandoned in the North Carolina marsh raises herself, then becomes a murder suspect. Nature writing braided with a courtroom mystery and a slow-burn romance.",Educated; The Great Alone
b027,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2017,Historical Fiction; Romance; LGBTQ,beginner,389,fame; ambition; queer love; secrets; identity,"glamorous, gossipy, emotional",An aging Hollywood icon finally tells the truth about her seven marriages to an unknown journalist. Old-Hollywood glitter over a genuinely moving queer love story; famously hard to put down.,Daisy Jones and the Six; Malibu Rising
b028,Normal People,Sally Rooney,2018,Literary Fiction; Romance,intermediate,273,class; intimacy; miscommunication; depression,"spare, intimate, uncomfortable","Connell and Marianne circle each other from small-town school to Trinity College, never quite saying the thing that matters. Sparse, dialogue-driven prose about how class and shame distort love.",Conversations with Friends; Call Me by Your Name
b029,Beloved,Toni Morrison,1987,Literary Fiction; Historical Fiction; Classic,advanced,324,slavery; motherhood; memory; haunting; freedom,"difficult, poetic, harrowing","A formerly enslaved woman in Ohio is visited by the embodied ghost of the daughter she killed. Nonlinear, demanding, and one of the essential American novels; go slowly.",The Underground Railroad; Song of Solomon
b030,Crime and Punishment,Fyodor Dostoevsky,1866,Classic; Literary Fiction; Psychological,advanced,671,guilt; morality; poverty; redemption; nihilism,"feverish, philosophical, intense","A destitute student murders a pawnbroker to test his theory that great men are above morality, then unravels. A psychological thriller centuries before the term existed; long but gripping.",The Brothers Karamazov; Notes from Underground
b031,The Midnight Library,Matt Haig,2020,Contemporary Fiction; Fantasy,beginner,304,regret; depression; choices; hope,"gentle, comforting, sentimental","A woman at her lowest point gets to try the lives she might have lived instead. An accessible, hopeful fable about regret; light on prose, heavy on comfort.",The Invisible Life of Addie LaRue; A Man Called Ove
b032,Percy Jackson and the Lightning Thief,Rick Riordan,2005,Middle Grade; Fantasy; Mythology,middle-grade,377,identity; friendship; belonging; prophecy,"funny, fast, breezy",A twelve-year-old discovers he is the son of Poseidon and has ten days to stop a war among the gods. Jokes every page and Greek myth smuggled in painlessly; ideal for reluctant young readers.,Artemis Fowl; The Hobbit
b033,Wonder,R.J. Palacio,2012,Middle Grade; Contemporary Fiction,middle-grade,315,kindness; bullying; difference; empathy; family,"warm, moving, hopeful","Auggie Pullman, born with a facial difference, starts fifth grade at a mainstream school. Short chapters rotating through many narrators; the standard-bearer for teaching empathy to kids.",Out of My Mind; Bridge to Terabithia
b034,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,Middle Grade; Fantasy,middle-grade,309,friendship; belonging; courage; destiny,"magical, cozy, inventive",An orphan learns he is a wizard and enters a school of magic hidden from the ordinary world. The most effective gateway to reading ever printed for the 8-12 range.,Percy Jackson and the Lightning Thief; The Hobbit
b035,The Book Thief,Markus Zusak,2005,Historical Fiction; Young Adult,young-adult,552,words; war; death; courage; found family,"poetic, sad, luminous","Narrated by Death, the story of a girl stealing books in Nazi Germany and the Jewish man hidden in her basement. Unusual voice, devastating ending, and a strong bridge from YA to literary fiction.",All the Light We Cannot See; The Diary of a Young Girl
b036,The Fault in Our Stars,John Green,2012,Young Adult; Romance; Contemporary Fiction,young-adult,313,illness; mortality; first love; meaning,"witty, romantic, heartbreaking",Two teenagers meet at a cancer support group and fall in love without illusions. Very quotable dialogue and an ending readers do not recover from quickly.,Eleanor and Park; Five Feet Apart
b037,The Handmaid's Tale,Margaret Atwood,1985,Dystopian; Literary Fiction; Classic,intermediate,311,patriarchy; reproduction; theocracy; resistance; memory,"cold, urgent, precise","In the theocratic Republic of Gilead, Offred is valued only for her fertility. Chilling for how little of it Atwood had to invent, and narrated in fragments that mirror a mind under pressure.",1984; Parable of the Sower
b038,Parable of the Sower,Octavia E. Butler,1993,Science Fiction; Dystopian,intermediate,345,climate collapse; religion; community; empathy; leadership,"harsh, prophetic, hopeful","As climate and economic collapse consume 2020s California, teenage Lauren builds a new faith and a walking community. Alarmingly accurate near-future science fiction with a genuinely new idea about hope.",The Handmaid's Tale; Station Eleven
b039,Station Eleven,Emily St. John Mandel,2014,Literary Fiction; Science Fiction; Post-Apocalyptic,intermediate,333,art; memory; survival; interconnection,"elegiac, beautiful, oddly soothing","A traveling Shakespeare troupe crosses a post-pandemic Great Lakes region, in a story braided across decades. Post-apocalyptic fiction about why art matters rather than about violence.",The Road; Cloud Cuckoo Land
b040,The Road,Cormac McCarthy,2006,Literary Fiction; Post-Apocalyptic,advanced,287,fatherhood; survival; despair; love,"bleak, spare, unforgettable","A father and son push a shopping cart through ash toward the coast in a dead world. Punctuation-light, relentlessly grim, and the purest distillation of parental love in modern fiction.",Blood Meridian; Station Eleven
b041,Born a Crime,Trevor Noah,2016,Memoir; Nonfiction; Humor,beginner,304,apartheid; race; language; mothers; poverty,"hilarious, generous, sharp","The comedian's childhood as a mixed-race boy born illegal under apartheid South Africa, anchored by his formidable mother. Funny enough to read for laughs and serious enough to teach history.",Educated; Between the World and Me
b042,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010,Nonfiction; Science; Biography,intermediate,381,medical ethics; race; consent; family; science,"investigative, humane, infuriating","The story of the Black woman whose cells were taken without consent and became immortal in labs worldwide, and of the family left behind. Narrative science writing that reads like a novel.",Sapiens; Bad Blood
b043,Designing Data-Intensive Applications,Martin Kleppmann,2017,Nonfiction; Technology; Reference,advanced,616,distributed systems; databases; consistency; tradeoffs,"technical, thorough, career-changing","How storage engines, replication, partitioning, and consensus actually work, with the tradeoffs drawn honestly. The single most recommended book for backend and data engineers.",The Pragmatic Programmer; Database Internals
b044,The Pragmatic Programmer,Andrew Hunt and David Thomas,1999,Nonfiction; Technology,intermediate,352,craft; pragmatism; automation; career,"practical, opinionated, timeless","Short essays on the habits of effective programmers, from DRY code to owning your career. Language-agnostic advice that still holds up decades later.",Clean Code; Designing Data-Intensive Applications
b045,A Wizard of Earthsea,Ursula K. Le Guin,1968,Fantasy; Classic,young-adult,183,names; pride; shadow self; balance,"mythic, restrained, wise","A gifted young wizard's arrogance unleashes a shadow he must spend years learning to face. Short, spare, and quietly profound; the antidote to bloated epic fantasy.",The Name of the Wind; The Hobbit
b046,Kafka on the Shore,Haruki Murakami,2002,Literary Fiction; Magical Realism,advanced,505,fate; dreams; prophecy; loneliness; metaphor,"surreal, hypnotic, unresolved",A runaway teenager and an elderly man who talks to cats move toward each other through a story that refuses to explain itself. Embrace the ambiguity or it will frustrate you.,Norwegian Wood; One Hundred Years of Solitude
b047,One Hundred Years of Solitude,Gabriel Garcia Marquez,1967,Literary Fiction; Magical Realism; Classic,advanced,417,family; time; solitude; history; repetition,"dense, magical, overwhelming","Seven generations of the Buendia family rise and fall in the town of Macondo, where the miraculous is ordinary. Keep the family tree handy; the reward is one of the great novels.",Kafka on the Shore; Love in the Time of Cholera
b048,The House in the Cerulean Sea,TJ Klune,2020,Fantasy; Contemporary Fiction; LGBTQ,beginner,396,found family; prejudice; queer love; bureaucracy; kindness,"cozy, sweet, low-stakes",A by-the-book caseworker is sent to inspect an orphanage of magical children and finds a family instead. Pure comfort fantasy with almost no darkness; the go-to when you need something kind.,Legends and Lattes; The Midnight Library
b049,Legends and Lattes,Travis Baldree,2022,Fantasy; Cozy,beginner,302,second chances; small business; community; retirement,"cozy, gentle, charming",A retired orc barbarian hangs up her sword to open the city's first coffee shop. Low-stakes cozy fantasy about building something instead of destroying it.,The House in the Cerulean Sea; Mistborn
b050,Sharp Objects,Gillian Flynn,2006,Thriller; Mystery; Psychological,intermediate,254,self harm; mothers; small towns; violence,"dark, oppressive, disturbing",A reporter returns to her stifling hometown to cover the murders of two girls and confront her mother. Flynn's nastiest book; heavy content warnings for self harm.,Gone Girl; The Silent Patient
